cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03827	9	-46,5736960	-23,6281079	2756	0,3266	4,2056	3936	3031	905
L03828	6	-46,5775486	-23,6354290	4928	0,1218	2,8037	7113	5376	1737
L03829	6	-46,5748539	-23,6017980	1491	0,4024	2,8037	2280	1646	634
L03830	6	-46,5749545	-23,6437552	2969	0,2021	2,8037	4119	3298	821
L03831	1	-46,5695666	-23,6448220	2120	0,0472	0,4673	3238	2331	907
L03832	3	-46,5730347	-23,6211432	1832	0,1638	1,4019	2886	2005	881
L03833	4	-46,5700307	-23,6362136	3592	0,1114	1,8692	5230	3939	1291
L03834	5	-46,5726120	-23,6066308	3267	0,153	2,3364	4678	3620	1058
L03835	8	-46,5643400	-23,6272959	3646	0,2194	3,7383	5449	4034	1415
L03836	2	-46,5659560	-23,6332439	3644	0,0549	0,9346	5494	3997	1497
L03837	4	-46,5754785	-23,6141958	1032	0,3876	1,8692	1565	1152	413
L03838	1	-46,5763789	-23,6236520	1262	0,0792	0,4673	1776	1415	361
L03839	10	-46,5778738	-23,6374845	2854	0,3504	4,6729	4180	3156	1024
L03840	16	-46,5710495	-23,6231623	4442	0,3602	7,4766	6459	4898	1561
L03841	16	-46,5736010	-23,6093189	4905	0,3262	7,4766	7551	5395	2156
L06294	5	-46,5666428	-23,6154995	3617	0,1382	2,3364	5616	4038	1578
L06295	19	-46,5510457	-23,6209219	4352	0,4366	8,8785	6342	4801	1541
L06296	1	-46,5489418	-23,6072896	1911	0,0523	0,4673	2620	2057	563
L06297	6	-46,5643922	-23,6397657	2942	0,2039	2,8037	4325	3277	1048
L06298	11	-46,5568507	-23,6253877	4341	0,2534	5,1402	6342	4836	1506
L06299	1	-46,5628521	-23,6408963	3152	0,0317	0,4673	4453	3494	959
L06300	7	-46,5634737	-23,6294039	3803	0,1841	3,271	5478	4184	1294
L06301	2	-46,5638740	-23,6349540	3090	0,0647	0,9346	4317	3380	937
L06302	7	-46,5612820	-23,6181008	3603	0,1943	3,271	5225	3922	1303
L06303	14	-46,5684560	-23,6423549	3603	0,3886	6,5421	5146	4005	1141
L06304	8	-46,5565462	-23,6338868	5904	0,1355	3,7383	8731	6465	2266
L06305	6	-46,5598285	-23,6426493	3076	0,1951	2,8037	4341	3425	916
L06306	6	-46,5573917	-23,6361303	3829	0,1567	2,8037	5574	4192	1382
L06307	12	-46,5517289	-23,6248440	3655	0,3283	5,6075	5277	4011	1266
L06308	12	-46,5483890	-23,6250380	1973	0,6082	5,6075	2787	2185	602
